,Country Name,Country Code,PM25 Concentration,Per capita emissions,Population,GDP Per Capita,total_emissions_all_pollutants,Income Group,Region,SIDS_category,Emission Rank,PM2.5 Rank,Pollution Emission Gap
0,Afghanistan,AFG,67.013,0.05416416501047,33142752.9,2936.45936,1790791.9454,Low-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,16.0,149.0,-133.0
1,Albania,ALB,19.773,0.0590591704991109,2751417.4,13949.7733,162591.362265,Upper-middle-income countries,Europe & Central Asia,0,20.0,65.0,-45.0
2,Algeria,DZA,22.371,0.0798421237692623,39671611.0,15040.9372,3163105.4144,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,42.0,77.0,-35.0
3,Angola,AGO,25.109,0.0964274006614245,27726545.4,10924.44225,2653497.9855,Lower-middle-income countries,Sub-Saharan Africa,0,68.0,90.0,-22.0
5,Argentina,ARG,13.288,0.076261572127655,43208216.7,28253.9343,3293508.4645,Upper-middle-income countries,Latin America & Caribbean,0,35.0,30.0,5.0
6,Armenia,ARM,40.628,0.0408467409040895,3004040.0,12988.8444,122649.41668,Lower-middle-income countries,Europe & Central Asia,0,5.0,126.0,-121.0
7,Australia,AUS,7.478999999999999,0.2535821553634575,23660662.8,55577.2539,5975791.6001,High-income countries,East Asia & Pacific,0,135.0,7.0,128.0
8,Austria,AUT,13.524,0.1080588298430146,8610859.1,61753.5946,928913.68021,High-income countries,Europe & Central Asia,0,80.0,32.0,48.0
9,Azerbaijan,AZE,29.648000000000003,0.0511833043381199,9570031.8,19995.82,489479.5507,Upper-middle-income countries,Europe & Central Asia,0,13.0,104.0,-91.0
11,Bahrain,BHR,53.819,0.2827745001871961,1348229.1,54255.603500000005,379591.779265,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,136.0,139.0,-3.0
12,Bangladesh,BGD,49.53,0.0371233596337251,158617764.4,5323.31775,5894016.0866,Lower-middle-income countries,South Asia,0,2.0,136.0,-134.0
14,Belarus,BLR,16.928,0.1429634851706538,9453202.8,25703.4869,1351556.63905,Upper-middle-income countries,Europe & Central Asia,0,107.0,49.0,58.0
15,Belgium,BEL,13.595,0.157390266299745,11230605.6,57622.5931,1766128.75242,High-income countries,Europe & Central Asia,0,116.0,33.0,83.0
17,Benin,BEN,31.851999999999997,0.0853541182085424,11223600.7,2951.87432,960460.36443,Low-income countries,Sub-Saharan Africa,0,50.0,112.0,-62.0
18,Bhutan,BTN,28.704,0.5604471179411792,735410.2,12241.4573,411940.83178700006,Lower-middle-income countries,South Asia,0,147.0,101.0,46.0
19,Bolivia,BOL,26.105,0.061966022208195,10929764.3,10805.0685,677599.63047,Lower-middle-income countries,Latin America & Caribbean,0,22.0,93.0,-71.0
20,Bosnia and Herzegovina,BIH,31.916000000000004,0.1697837004317491,3555183.0,14187.9282,600124.69744,Upper-middle-income countries,Europe & Central Asia,0,120.0,114.0,6.0
21,Botswana,BWA,13.088,0.1433619310389954,2186400.9,16434.5455,313043.89816,Upper-middle-income countries,Sub-Saharan Africa,0,108.0,27.0,81.0
22,Brazil,BRA,13.107,0.101900094690258,200758601.1,18358.5712,20431897.144,Upper-middle-income countries,Latin America & Caribbean,0,75.0,28.0,47.0
23,Brunei,BRN,7.678,0.2526080077030962,418826.8,83658.6805,105535.50808,High-income countries,East Asia & Pacific,0,134.0,8.0,126.0
24,Bulgaria,BGR,21.074,0.1084151489634415,7029274.8,24680.7003,768625.7128999999,Upper-middle-income countries,Europe & Central Asia,0,81.0,68.0,13.0
25,Burkina Faso,BFA,41.332,0.0777777371967875,18534255.3,2116.24121,1434294.2854,Low-income countries,Sub-Saharan Africa,0,36.0,128.0,-92.0
26,Burundi,BDI,28.067,0.058446304958414,10831315.1,1015.829,625026.74002,Low-income countries,Sub-Saharan Africa,0,19.0,100.0,-81.0
27,Cambodia,KHM,17.899,0.152275062430398,15504062.7,4929.86192,2361045.948,Low-income countries,East Asia & Pacific,0,114.0,57.0,57.0
28,Cameroon,CMR,56.202,0.0723130007847853,22483082.2,4603.621499999999,1624035.0326,Lower-middle-income countries,Sub-Saharan Africa,0,31.0,143.0,-112.0
29,Canada,CAN,7.188,0.2329373794850876,35662506.7,55351.0732,8281539.0751,High-income countries,North America,0,131.0,6.0,125.0
31,Central African Republic,CAF,28.013,0.0625076958990554,4689431.9,1206.582422,292981.81883,Low-income countries,Sub-Saharan Africa,0,23.0,99.0,-76.0
32,Chad,TCD,42.565999999999995,0.06911597063474,14438511.6,2712.78834,993910.72733,Low-income countries,Sub-Saharan Africa,0,28.0,130.0,-102.0
33,Chile,CHL,22.628,0.1428253582888558,18056824.9,27132.4239,2570109.4345,High-income countries,Latin America & Caribbean,0,106.0,78.0,28.0
34,China,CHN,49.782,0.1945697675486609,1374640000.0,14516.3418,266852332.45,Upper-middle-income countries,East Asia & Pacific,0,125.0,137.0,-12.0
35,Colombia,COL,16.663,0.0687712771323013,46994073.6,16181.3081,3229956.9439,Upper-middle-income countries,Latin America & Caribbean,0,27.0,47.0,-20.0
37,Congo,COG,29.58,0.1063440747346246,5041635.0,8243.452959999999,535336.78042,Lower-middle-income countries,Sub-Saharan Africa,0,77.0,103.0,-26.0
38,Costa Rica,CRI,17.674,0.0854225478429934,4786857.9,21100.6848,408154.53836,Upper-middle-income countries,Latin America & Caribbean,0,51.0,54.0,-3.0
39,Cote d'Ivoire,CIV,41.118,0.0906442633993231,25103061.4,4964.79039,2268218.0731,Lower-middle-income countries,Sub-Saharan Africa,0,60.0,127.0,-67.0
40,Croatia,HRV,18.985,0.1103813197743049,4151010.1,30407.4825,459119.54774,High-income countries,Europe & Central Asia,0,82.0,60.0,22.0
41,Cyprus,CYP,15.663,0.0749284110379976,1209369.9,40240.3874,90305.103653,High-income countries,Europe & Central Asia,0,33.0,43.0,-10.0
42,Czechia,CZE,17.917,0.1395818379857613,10552952.9,42200.6433,1472339.06963,High-income countries,Europe & Central Asia,0,102.0,58.0,44.0
43,Democratic Republic of Congo,COD,31.871,0.0790341327696717,80193003.4,1341.07226,6357987.6162,Low-income countries,Sub-Saharan Africa,0,39.0,113.0,-74.0
44,Denmark,DNK,10.821000000000002,0.11702808443691,5675276.5,62900.6943,662883.68509,High-income countries,Europe & Central Asia,0,91.0,16.0,75.0
45,Djibouti,DJI,20.40571428571429,0.0777883692662888,1037277.0,5169.179628571429,80724.31471285714,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,37.0,67.0,-30.0
48,East Timor,TLS,20.169,0.0450160019252345,1193241.9,4388.58435,53050.733091,Lower-middle-income countries,East Asia & Pacific,0,9.0,66.0,-57.0
49,Ecuador,ECU,17.266,0.0836697170616848,16173781.9,13443.098800000002,1351647.711,Upper-middle-income countries,Latin America & Caribbean,0,46.0,51.0,-5.0
50,Egypt,EGY,61.553999999999995,0.0638494291389586,98448557.9,13616.903,6273589.901899999,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,24.0,145.0,-121.0
51,El Salvador,SLV,26.182,0.0547233399187131,6161427.9,9595.257,336981.02335000003,Lower-middle-income countries,Latin America & Caribbean,0,17.0,94.0,-77.0
52,Equatorial Guinea,GNQ,25.604000000000003,0.1157960495477286,1428155.3,28147.794199999997,163979.44882,High-income countries,Sub-Saharan Africa,0,90.0,91.0,-1.0
53,Estonia,EST,7.087999999999999,0.2116867551106206,1321160.8,36293.54,279714.89337,High-income countries,Europe & Central Asia,0,127.0,5.0,122.0
54,Eswatini,SWZ,14.859,0.0880555296765218,1141895.3,9120.5332,100504.18713,Lower-middle-income countries,Sub-Saharan Africa,0,56.0,40.0,16.0
55,Ethiopia,ETH,22.129,0.0989517293442491,102769492.5,1898.29686,10143345.8412,Low-income countries,Sub-Saharan Africa,0,72.0,74.0,-2.0
57,Finland,FIN,6.003,0.1343123881065926,5458625.8,54447.6343,732482.65442,High-income countries,Europe & Central Asia,0,98.0,1.0,97.0
58,France,FRA,12.372,0.1009019561026355,66306550.4,50911.6868,6680302.7372,High-income countries,Europe & Central Asia,0,74.0,22.0,52.0
59,Gabon,GAB,25.749,0.3516981184315577,2001843.0,19538.8108,700007.7084,Upper-middle-income countries,Sub-Saharan Africa,0,143.0,92.0,51.0
60,Gambia,GMB,38.706,0.0473051895123636,2192881.9,2586.64032,103480.66919,Low-income countries,Sub-Saharan Africa,0,12.0,121.0,-109.0
61,Georgia,GEO,22.669,0.0717435231517848,3733658.7,14719.831,267776.39398,Lower-middle-income countries,Europe & Central Asia,0,30.0,80.0,-50.0
62,Germany,DEU,12.849,0.0851830547180733,81679686.7,59489.1476,6951776.1862,High-income countries,Europe & Central Asia,0,49.0,26.0,23.0
63,Ghana,GHA,46.719,0.0535039989013657,28368983.0,5606.3450299999995,1519911.52945,Lower-middle-income countries,Sub-Saharan Africa,0,14.0,133.0,-119.0
64,Greece,GRC,16.701,0.1316559105328731,10893487.2,32573.6376,1436070.34804,High-income countries,Europe & Central Asia,0,97.0,48.0,49.0
66,Guatemala,GTM,24.822,0.1367252482518976,15820829.5,10615.8099,2166964.3243,Lower-middle-income countries,Latin America & Caribbean,0,99.0,87.0,12.0
67,Guinea,GIN,37.827,0.1001707648473888,11660415.3,2998.41829,1161763.7722,Low-income countries,Sub-Saharan Africa,0,73.0,119.0,-46.0
71,Honduras,HND,22.295,0.0956271214241132,9152060.2,5815.63416,871779.7350999999,Lower-middle-income countries,Latin America & Caribbean,0,65.0,76.0,-11.0
72,Hungary,HUN,17.441,0.084681455701156,9828393.8,31470.654700000003,833033.31096,High-income countries,Europe & Central Asia,0,48.0,53.0,-5.0
73,Iceland,ISL,6.298,0.4729928767705847,333185.9,60699.384699999995,157083.86416199998,High-income countries,Europe & Central Asia,0,145.0,2.0,143.0
74,India,IND,54.54600000000001,0.0668995336613511,1318680329.2,6398.11653,88188273.963,Lower-middle-income countries,South Asia,0,25.0,140.0,-115.0
75,Indonesia,IDN,19.61,0.1460442279917916,259941829.7,10746.3923,37849983.118,Lower-middle-income countries,East Asia & Pacific,0,110.0,64.0,46.0
76,Iran,IRN,30.126,0.0974259403962565,82171974.1,15397.0691,7986498.0896,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,71.0,107.0,-36.0
77,Iraq,IRQ,38.738,0.0791100803686852,36551899.0,13700.7406,2902117.369,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,40.0,122.0,-82.0
78,Ireland,IRL,8.988,0.1220612795273153,4718793.0,74386.251,574942.49467,High-income countries,Europe & Central Asia,0,92.0,12.0,80.0
79,Israel,ISR,21.337,0.1384939287531654,8315130.0,41139.1707,1153658.52525,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,100.0,72.0,28.0
80,Italy,ITA,17.298000000000002,0.0816983341199101,60089463.4,48320.2342,4908871.5559,High-income countries,Europe & Central Asia,0,45.0,52.0,-7.0
82,Japan,JPN,12.625,0.0724265623445292,127288600.0,42982.052,9221816.5305,High-income countries,East Asia & Pacific,0,32.0,24.0,8.0
83,Jordan,JOR,25.064,0.0414720094477932,9006763.2,10080.8864,364993.59969,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,6.0,89.0,-83.0
84,Kazakhstan,KAZ,30.885,0.3031840641072001,17982368.7,30317.112800000003,5445835.156,Upper-middle-income countries,Europe & Central Asia,0,138.0,109.0,29.0
85,Kenya,KEN,12.482,0.1154536777625423,46511947.5,4639.46666,5371103.8160999995,Lower-middle-income countries,Sub-Saharan Africa,0,89.0,23.0,66.0
87,Kuwait,KWT,65.13199999999999,0.3994789577561897,3734632.8,58522.3618,1470617.94949,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,144.0,148.0,-4.0
88,Kyrgyzstan,KGZ,44.673,0.1499333828719357,5990508.0,5511.08978,890969.86193,Lower-middle-income countries,Europe & Central Asia,0,112.0,132.0,-20.0
89,Laos,LAO,21.164,0.1250352219033732,6768859.4,6518.74571,851384.32573,Lower-middle-income countries,East Asia & Pacific,0,94.0,70.0,24.0
90,Latvia,LVA,13.821000000000002,0.1293629530704232,1991832.0,29978.6354,258091.15374000004,High-income countries,Europe & Central Asia,0,96.0,34.0,62.0
91,Lebanon,LBN,23.970999999999997,0.0913439192451057,5819784.6,16230.02055,531587.959662,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,61.0,85.0,-24.0
92,Lesotho,LSO,17.762999999999998,0.1236650022044903,2096635.8,2872.85223,258648.34954,Lower-middle-income countries,Sub-Saharan Africa,0,93.0,55.0,38.0
93,Liberia,LBR,35.047,0.149832903173224,4594005.4,1658.59668,686726.00567,Low-income countries,Sub-Saharan Africa,0,111.0,116.0,-5.0
94,Libya,LBY,29.698,0.322566726721279,6545505.3,15169.2682,2103493.7177500003,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,142.0,105.0,37.0
95,Lithuania,LTU,11.754,0.1075578348385709,2927440.1,34822.4347,315039.59742999997,High-income countries,Europe & Central Asia,0,79.0,20.0,59.0
96,Luxembourg,LUX,10.627,0.1398889723842712,563183.0,131079.3344,77836.431297,High-income countries,Europe & Central Asia,0,103.0,15.0,88.0
