Country Name,Country Code,PM25 Concentration,Per capita emissions,Population,GDP Per Capita,total_emissions_all_pollutants,Income Group,Region,SIDS_category
Afghanistan,AFG,67.013,0.05416416501047007,33142752.9,2936.45936,1790791.9454,Low-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Albania,ALB,19.773,0.05905917049911099,2751417.4,13949.7733,162591.362265,Upper-middle-income countries,Europe & Central Asia,0
Algeria,DZA,22.371000000000002,0.07984212376926236,39671611.0,15040.9372,3163105.4144,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Angola,AGO,25.109,0.09642740066142458,27726545.4,10924.44225,2653497.9855,Lower-middle-income countries,Sub-Saharan Africa,0
Antigua and Barbuda,ATG,8.498999999999999,0.2127320502965251,88787.7,26529.9337,18884.329589399997,High-income countries,Latin America & Caribbean,1
Argentina,ARG,13.288,0.07626157212765503,43208216.7,28253.9343,3293508.4645,Upper-middle-income countries,Latin America & Caribbean,0
Armenia,ARM,40.628,0.04084674090408956,3004040.0,12988.8444,122649.41668,Lower-middle-income countries,Europe & Central Asia,0
Australia,AUS,7.478999999999999,0.2535821553634575,23660662.8,55577.253899999996,5975791.6001,High-income countries,East Asia & Pacific,0
Austria,AUT,13.524000000000001,0.10805882984301463,8610859.1,61753.5946,928913.6802100001,High-income countries,Europe & Central Asia,0
Azerbaijan,AZE,29.648000000000003,0.05118330433811992,9570031.8,19995.82,489479.5507,Upper-middle-income countries,Europe & Central Asia,0
Bahamas,BHS,5.306,0.19468332212390402,382720.5,32888.2889,74446.6638865,High-income countries,Latin America & Caribbean,1
Bahrain,BHR,53.818999999999996,0.2827745001871961,1348229.1,54255.603500000005,379591.779265,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Bangladesh,BGD,49.53,0.03712335963372518,158617764.4,5323.31775,5894016.0866,Lower-middle-income countries,South Asia,0
Barbados,BRB,9.899,0.1639031798124239,278501.0,21154.5596,45632.0392042,High-income countries,Latin America & Caribbean,1
Belarus,BLR,16.928,0.14296348517065388,9453202.8,25703.4869,1351556.6390499999,Upper-middle-income countries,Europe & Central Asia,0
Belgium,BEL,13.594999999999999,0.15739026629974504,11230605.6,57622.5931,1766128.75242,High-income countries,Europe & Central Asia,0
Belize,BLZ,10.591,0.0680006844548191,353280.2,11893.7971,23938.605093,Upper-middle-income countries,Latin America & Caribbean,1
Benin,BEN,31.851999999999997,0.08535411820854247,11223600.7,2951.87432,960460.3644300001,Low-income countries,Sub-Saharan Africa,0
Bhutan,BTN,28.704,0.5604471179411792,735410.2,12241.4573,411940.83178700006,Lower-middle-income countries,South Asia,0
Bolivia,BOL,26.105,0.06196602220819506,10929764.3,10805.0685,677599.63047,Lower-middle-income countries,Latin America & Caribbean,0
Bosnia and Herzegovina,BIH,31.916000000000004,0.16978370043174912,3555183.0,14187.9282,600124.69744,Upper-middle-income countries,Europe & Central Asia,0
Botswana,BWA,13.088,0.14336193103899547,2186400.9,16434.5455,313043.89816,Upper-middle-income countries,Sub-Saharan Africa,0
Brazil,BRA,13.107,0.10190009469025803,200758601.1,18358.5712,20431897.144,Upper-middle-income countries,Latin America & Caribbean,0
Brunei,BRN,7.678,0.25260800770309627,418826.8,83658.6805,105535.50808000001,High-income countries,East Asia & Pacific,0
Bulgaria,BGR,21.074,0.10841514896344154,7029274.8,24680.7003,768625.7128999999,Upper-middle-income countries,Europe & Central Asia,0
Burkina Faso,BFA,41.332,0.07777773719678757,18534255.3,2116.24121,1434294.2854,Low-income countries,Sub-Saharan Africa,0
Burundi,BDI,28.067,0.05844630495841406,10831315.1,1015.8290000000001,625026.74002,Low-income countries,Sub-Saharan Africa,0
Cambodia,KHM,17.899,0.15227506243039807,15504062.7,4929.86192,2361045.948,Low-income countries,East Asia & Pacific,0
Cameroon,CMR,56.202,0.07231300078478534,22483082.2,4603.621499999999,1624035.0326,Lower-middle-income countries,Sub-Saharan Africa,0
Canada,CAN,7.188,0.2329373794850876,35662506.7,55351.0732,8281539.0751,High-income countries,North America,0
Cape Verde,CPV,31.206,0.08655118056240253,512309.7,7804.61722,44346.719841,Lower-middle-income countries,Sub-Saharan Africa,1
Central African Republic,CAF,28.012999999999998,0.06250769589905546,4689431.9,1206.582422,292981.81883,Low-income countries,Sub-Saharan Africa,0
Chad,TCD,42.565999999999995,0.06911597063474009,14438511.6,2712.78834,993910.7273299999,Low-income countries,Sub-Saharan Africa,0
Chile,CHL,22.628,0.14282535828885584,18056824.9,27132.4239,2570109.4345,High-income countries,Latin America & Caribbean,0
China,CHN,49.782,0.1945697675486609,1374640000.0,14516.3418,266852332.45,Upper-middle-income countries,East Asia & Pacific,0
Colombia,COL,16.663,0.06877127713230138,46994073.6,16181.3081,3229956.9439,Upper-middle-income countries,Latin America & Caribbean,0
Comoros,COM,14.186000000000002,0.07116756139127252,719547.7,3327.99419,51149.50167799999,Low-income countries,Sub-Saharan Africa,1
Congo,COG,29.580000000000002,0.10634407473462462,5041635.0,8243.452959999999,535336.78042,Lower-middle-income countries,Sub-Saharan Africa,0
Costa Rica,CRI,17.674,0.08542254784299345,4786857.9,21100.6848,408154.53836,Upper-middle-income countries,Latin America & Caribbean,0
Cote d'Ivoire,CIV,41.118,0.09064426339932317,25103061.4,4964.79039,2268218.0731,Lower-middle-income countries,Sub-Saharan Africa,0
Croatia,HRV,18.985,0.11038131977430492,4151010.1,30407.482500000002,459119.54774,High-income countries,Europe & Central Asia,0
Cyprus,CYP,15.663,0.0749284110379976,1209369.9,40240.3874,90305.103653,High-income countries,Europe & Central Asia,0
Czechia,CZE,17.917,0.13958183798576132,10552952.9,42200.6433,1472339.06963,High-income countries,Europe & Central Asia,0
Democratic Republic of Congo,COD,31.871,0.07903413276967179,80193003.4,1341.07226,6357987.6162,Low-income countries,Sub-Saharan Africa,0
Denmark,DNK,10.821000000000002,0.11702808443691007,5675276.5,62900.694299999996,662883.68509,High-income countries,Europe & Central Asia,0
Djibouti,DJI,20.405714285714286,0.0777883692662888,1037277.0,5169.179628571429,80724.31471285714,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Dominica,DMA,8.382000000000001,0.08726856851169368,69168.4,17232.22275,6034.7344431,Upper-middle-income countries,Latin America & Caribbean,1
Dominican Republic,DOM,7.6739999999999995,0.08755995661579345,10367476.6,17732.689300000002,908103.5521199999,Upper-middle-income countries,Latin America & Caribbean,1
East Timor,TLS,20.169,0.04501600192523459,1193241.9,4388.58435,53050.733091,Lower-middle-income countries,East Asia & Pacific,0
Ecuador,ECU,17.266,0.08366971706168483,16173781.9,13443.098800000002,1351647.711,Upper-middle-income countries,Latin America & Caribbean,0
Egypt,EGY,61.553999999999995,0.06384942913895864,98448557.9,13616.903,6273589.901899999,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
El Salvador,SLV,26.182,0.05472333991871314,6161427.9,9595.257000000001,336981.02335000003,Lower-middle-income countries,Latin America & Caribbean,0
Equatorial Guinea,GNQ,25.604000000000003,0.11579604954772862,1428155.3,28147.794199999997,163979.44882,High-income countries,Sub-Saharan Africa,0
Estonia,EST,7.087999999999999,0.21168675511062066,1321160.8,36293.54,279714.89337,High-income countries,Europe & Central Asia,0
Eswatini,SWZ,14.859,0.08805552967652186,1141895.3,9120.5332,100504.18713,Lower-middle-income countries,Sub-Saharan Africa,0
Ethiopia,ETH,22.129,0.09895172934424917,102769492.5,1898.29686,10143345.8412,Low-income countries,Sub-Saharan Africa,0
Fiji,FJI,7.272,0.0686184710031148,916084.5,11411.2898,62866.166452,Upper-middle-income countries,East Asia & Pacific,1
Finland,FIN,6.003,0.13431238810659263,5458625.8,54447.6343,732482.65442,High-income countries,Europe & Central Asia,0
France,FRA,12.372,0.10090195610263553,66306550.4,50911.6868,6680302.7372,High-income countries,Europe & Central Asia,0
Gabon,GAB,25.749000000000002,0.35169811843155774,2001843.0,19538.8108,700007.7084,Upper-middle-income countries,Sub-Saharan Africa,0
Gambia,GMB,38.706,0.0473051895123636,2192881.9,2586.64032,103480.66919,Low-income countries,Sub-Saharan Africa,0
Georgia,GEO,22.669,0.07174352315178481,3733658.7,14719.831,267776.39398,Lower-middle-income countries,Europe & Central Asia,0
Germany,DEU,12.849,0.08518305471807339,81679686.7,59489.147600000004,6951776.1862,High-income countries,Europe & Central Asia,0
Ghana,GHA,46.719,0.05350399890136577,28368983.0,5606.3450299999995,1519911.52945,Lower-middle-income countries,Sub-Saharan Africa,0
Greece,GRC,16.701,0.13165591053287312,10893487.2,32573.6376,1436070.34804,High-income countries,Europe & Central Asia,0
Grenada,GRD,10.128,0.08624023670758597,114097.5,14865.92065,9835.8132031,Upper-middle-income countries,Latin America & Caribbean,1
Guatemala,GTM,24.822,0.13672524825189766,15820829.5,10615.8099,2166964.3243,Lower-middle-income countries,Latin America & Caribbean,0
Guinea,GIN,37.827,0.10017076484738889,11660415.3,2998.41829,1161763.7722,Low-income countries,Sub-Saharan Africa,0
Guinea-Bissau,GNB,34.938,0.1364381608379382,1764822.1,2265.34557,239461.24008999998,Low-income countries,Sub-Saharan Africa,1
Guyana,GUY,11.097,0.1501847133541753,763597.6,12044.019,114728.36868,Lower-middle-income countries,Latin America & Caribbean,1
Haiti,HTI,9.854,0.14047668047751155,10446354.4,3390.9483700000005,1467278.42955,Low-income countries,Latin America & Caribbean,1
Honduras,HND,22.294999999999998,0.09562712142411324,9152060.2,5815.63416,871779.7350999999,Lower-middle-income countries,Latin America & Caribbean,0
Hungary,HUN,17.441,0.08468145570115601,9828393.8,31470.654700000003,833033.31096,High-income countries,Europe & Central Asia,0
Iceland,ISL,6.298,0.47299287677058477,333185.9,60699.384699999995,157083.86416199998,High-income countries,Europe & Central Asia,0
India,IND,54.54600000000001,0.06689953366135114,1318680329.2,6398.11653,88188273.963,Lower-middle-income countries,South Asia,0
Indonesia,IDN,19.61,0.14604422799179165,259941829.7,10746.3923,37849983.118,Lower-middle-income countries,East Asia & Pacific,0
Iran,IRN,30.125999999999998,0.09742594039625653,82171974.1,15397.069099999999,7986498.0896,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Iraq,IRQ,38.738,0.07911008036868528,36551899.0,13700.7406,2902117.369,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Ireland,IRL,8.988,0.12206127952731531,4718793.0,74386.251,574942.49467,High-income countries,Europe & Central Asia,0
Israel,ISR,21.337,0.1384939287531654,8315130.0,41139.1707,1153658.52525,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Italy,ITA,17.298000000000002,0.08169833411991015,60089463.4,48320.2342,4908871.5559,High-income countries,Europe & Central Asia,0
Jamaica,JAM,15.124,0.11259990712307592,2793050.9,10123.4198,314665.500136,Upper-middle-income countries,Latin America & Caribbean,1
Japan,JPN,12.625,0.07242656234452925,127288600.0,42982.052,9221816.5305,High-income countries,East Asia & Pacific,0
Jordan,JOR,25.064,0.041472009447793244,9006763.2,10080.8864,364993.59969,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Kazakhstan,KAZ,30.885,0.3031840641072001,17982368.7,30317.112800000003,5445835.156,Upper-middle-income countries,Europe & Central Asia,0
Kenya,KEN,12.482,0.11545367776254238,46511947.5,4639.46666,5371103.8160999995,Lower-middle-income countries,Sub-Saharan Africa,0
Kiribati,KIR,7.551,0.031358955070094584,116237.2,2528.12871,3640.6619660999995,Lower-middle-income countries,East Asia & Pacific,1
Kuwait,KWT,65.13199999999999,0.39947895775618975,3734632.8,58522.3618,1470617.94949,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Kyrgyzstan,KGZ,44.673,0.14993338287193575,5990508.0,5511.08978,890969.86193,Lower-middle-income countries,Europe & Central Asia,0
Laos,LAO,21.163999999999998,0.12503522190337324,6768859.4,6518.74571,851384.32573,Lower-middle-income countries,East Asia & Pacific,0
Latvia,LVA,13.821000000000002,0.12936295307042328,1991832.0,29978.6354,258091.15374000004,High-income countries,Europe & Central Asia,0
Lebanon,LBN,23.970999999999997,0.09134391924510574,5819784.6,16230.020550000001,531587.959662,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Lesotho,LSO,17.762999999999998,0.12366500220449032,2096635.8,2872.85223,258648.34954,Lower-middle-income countries,Sub-Saharan Africa,0
Liberia,LBR,35.047,0.14983290317322404,4594005.4,1658.5966799999999,686726.00567,Low-income countries,Sub-Saharan Africa,0
Libya,LBY,29.698,0.32256672672127906,6545505.3,15169.2682,2103493.7177500003,Upper-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Lithuania,LTU,11.754,0.10755783483857098,2927440.1,34822.4347,315039.59742999997,High-income countries,Europe & Central Asia,0
Luxembourg,LUX,10.626999999999999,0.13988897238427128,563183.0,131079.3344,77836.431297,High-income countries,Europe & Central Asia,0
Madagascar,MDG,16.294999999999998,0.07858695726492033,25137122.5,1643.13858,1985487.3623999998,Low-income countries,Sub-Saharan Africa,0
Malawi,MWI,18.702,0.04604398071753463,16882129.0,1583.93752,774699.92954,Low-income countries,Sub-Saharan Africa,0
Malaysia,MYS,21.669999999999998,0.24760715800373587,31008073.8,27242.195,7694581.9508,Upper-middle-income countries,East Asia & Pacific,0
Maldives,MDV,12.867,0.4351222896052612,422555.0,18959.3606,182588.26252699998,Upper-middle-income countries,South Asia,1
Mali,MLI,39.126999999999995,0.0420218410268759,18395891.9,2695.42815,771637.66168,Low-income countries,Sub-Saharan Africa,0
Malta,MLT,14.267000000000001,0.5249746858530491,446274.1,44985.4393,235968.69407899998,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Marshall Islands,MHL,7.151000000000001,0.05012959398032048,48817.7,4854.07227,2444.6102125,Upper-middle-income countries,East Asia & Pacific,1
Mauritania,MRT,41.769999999999996,0.08651862688513959,3916425.1,5878.51069,338168.99737999996,Lower-middle-income countries,Sub-Saharan Africa,0
Mauritius,MUS,10.578999999999999,0.1362755210141306,1260189.6,22394.7519,171790.06068,Upper-middle-income countries,Sub-Saharan Africa,1
Mexico,MEX,21.268,0.09570781547949672,120087384.8,21175.6709,11464033.6464,Upper-middle-income countries,Latin America & Caribbean,0
Micronesia (country),FSM,7.579000000000001,0.0515993778195604,108710.8,3777.31606,5607.809753799999,Lower-middle-income countries,East Asia & Pacific,1
Moldova,MDA,14.185999999999998,0.09357195993685202,2806653.0,11845.084200000001,262592.35316,Lower-middle-income countries,Europe & Central Asia,0
Mongolia,MNG,47.101,0.304067169290943,2996726.7,13299.48735,907007.14199,Lower-middle-income countries,East Asia & Pacific,0
Montenegro,MNE,23.608,0.12576903586737914,623669.9,21363.401,78371.303541,Upper-middle-income countries,Europe & Central Asia,0
Morocco,MAR,13.378,0.04662924579601483,34385529.1,8030.458840000001,1601622.8604000001,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Mozambique,MOZ,16.526,0.08090944987455896,26278030.0,1432.42781,2153288.2856,Low-income countries,Sub-Saharan Africa,0
Myanmar,MMR,27.49,0.09400163583820953,50861859.0,5152.38649,4789765.9467,Lower-middle-income countries,East Asia & Pacific,0
Namibia,NAM,11.943999999999999,0.19348347629771875,2356362.4,11387.2543,452443.0477,Upper-middle-income countries,Sub-Saharan Africa,0
Nepal,NPL,39.32899999999999,0.11457327064472615,27788782.9,3716.6375399999997,3185438.4544,Low-income countries,South Asia,0
Netherlands,NLD,12.803,0.1746653535628414,16941090.1,63626.5903,2954519.0524,High-income countries,Europe & Central Asia,0
New Zealand,NZL,7.731,0.29709322672465344,4610940.0,44434.4155,1365784.87454,High-income countries,East Asia & Pacific,0
Nicaragua,NIC,19.433,0.07929324974553793,6109017.6,6645.41441,484102.71386,Lower-middle-income countries,Latin America & Caribbean,0
Niger,NER,50.415,0.03942784740081119,19649421.7,1462.25853,777183.2257999999,Low-income countries,Sub-Saharan Africa,0
Nigeria,NGA,55.2,0.1546487027417666,188196402.0,8439.60023,29081509.586799998,Lower-middle-income countries,Sub-Saharan Africa,0
North Macedonia,MKD,30.842000000000002,0.10654303854170857,1913650.3,18906.8243,204001.15832600003,Upper-middle-income countries,Europe & Central Asia,0
Norway,NOR,6.94,0.17071239414408296,5143767.4,85308.333,876066.00388,High-income countries,Europe & Central Asia,0
Oman,OMN,35.818,0.31267483449150035,3951995.3,41042.236099999995,1217424.15035,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Pakistan,PAK,55.15,0.08554083526749509,215442437.2,4680.8727,18471412.489,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Palau,PLW,7.685,1.5105198953583145,17859.3,18876.672,26987.9526038,Upper-middle-income countries,East Asia & Pacific,1
Palestine,PSE,29.945,0.0,4224562.9,6095.5711,0.0,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Panama,PAN,13.959999999999999,0.21884452853501796,3928911.4,29025.596700000002,861669.38914,Upper-middle-income countries,Latin America & Caribbean,0
Papua New Guinea,PNG,8.645,0.05824504228250741,8628759.9,3955.06087,500690.77833,Lower-middle-income countries,East Asia & Pacific,1
Paraguay,PRY,14.299000000000001,0.15085471733637093,6119119.0,14209.18125,923797.82189,Upper-middle-income countries,Latin America & Caribbean,0
Peru,PER,29.540999999999997,0.09057621006320801,30486983.4,14185.7288,2759487.4626,Upper-middle-income countries,Latin America & Caribbean,0
Philippines,PHL,22.659,0.06080763378211231,104104309.1,7659.211259999999,6343541.542099999,Lower-middle-income countries,East Asia & Pacific,0
Poland,POL,23.185,0.14507494163367743,38009269.4,31750.2518,5514457.441,High-income countries,Europe & Central Asia,0
Portugal,PRT,8.937999999999999,0.07571922861636345,10405777.4,36707.8894,788032.5813,High-income countries,Europe & Central Asia,0
Qatar,QAT,62.363,0.5609434079261202,2161908.3,126919.4447,1182169.2713199998,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Romania,ROU,16.009999999999998,0.08577489739697464,19829732.2,29637.2431,1702636.1201499999,Upper-middle-income countries,Europe & Central Asia,0
Russia,RUS,9.857000000000001,0.1573978087846107,144308980.4,35483.125,22712122.842,Upper-middle-income countries,Europe & Central Asia,0
Rwanda,RWA,34.93,0.04363406169849801,11520464.8,2184.76833,501667.49302000005,Low-income countries,Sub-Saharan Africa,0
Saint Kitts and Nevis,KNA,8.22,0.1964556576167399,47009.5,28118.7994,9235.380349399999,High-income countries,Latin America & Caribbean,1
Saint Lucia,LCA,9.093,0.10558797164297855,174437.2,21730.7804,18417.9629099,Upper-middle-income countries,Latin America & Caribbean,1
Saint Vincent and the Grenadines,VCT,9.534,0.07253497665501404,107177.9,14533.1234,7773.5963819,Upper-middle-income countries,Latin America & Caribbean,1
Samoa,WSM,7.623,0.06145294322046169,201059.7,6594.351919999999,12342.62888,Lower-middle-income countries,East Asia & Pacific,1
Sao Tome and Principe,STP,33.166999999999994,0.08289492502784096,198133.4,5247.0004,16414.284200000002,Lower-middle-income countries,Sub-Saharan Africa,1
Saudi Arabia,SAU,57.003,0.31704567743965295,28318050.7,58765.6155,8943930.8672,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Senegal,SEN,38.364,0.05561286304170861,14413803.0,3628.51935,790575.4119200001,Lower-middle-income countries,Sub-Saharan Africa,0
Serbia,SRB,26.255000000000003,0.1804623038047307,7113019.4,18847.9785,1284976.4246200002,Upper-middle-income countries,Europe & Central Asia,0
Seychelles,SYC,17.148,0.34481833314766647,92514.8,27690.5701,32042.362121000002,High-income countries,Sub-Saharan Africa,1
